gene GM_155 GM_157 GM_158 GM_160 GM_162 GM_163 GM_164 GM_165 GM_166 GM_167 GM_169 GM_170 GM_171 GM_172 GM_175 GM_176 GM_179 GM_180 GM_181 GM_182 GM_183 GM_184 GM_185 GM_186 GM_188 GM_189 GM_190 GM_191 GM_192 GM_194 GM_196 GM_198 GM_200 GM_201 GM_203 GM_204 GM_205 GM_206 GM_207 GM_209 GM_213 GM_215 GM_216 GM_218 GM_219 GM_220 GM_221 GM_222 GM_223 GM_224 GM_225 GM_226 GM_227 GM_228 GM_229 GM_231 GM_232 GM_233 GM_234 GM_235 GM_236 GM_239 GM_240 GM_243 GM_244 GM_246 GM_247 GM_248 GM_249 GM_259 GM_263 GM_264 GM_266 GM_271 GM_272 GM_273 GM_274 GM_275 GM_276 GM_277 GM_278 GM_279 GM_280 GM_281 GM_282 GM_283 GM_284 GM_286 GM_287 GM_290 GM_241 GM_255 GM_285
ENSG00000227232.4 2.714429661 0.636498739 0.876744315 1.605679635 1.121773802 1.168291386 1.29396712 0.997591769 0.58865542 1.317856766 1.252577764 0.970774352 0.760100301 1.297053194 1.865553853 1.553838112 0.885327082 0.982794454 1.1393806 1.229339803 2.428196419 0.958245725 0.969368311 0.883916007 1.094989691 1.906311529 1.712708771 0.927462321 1.085916556 0.808756353 0.787569386 1.055135193 1.438534652 1.35645949 1.107095358 0.911550943 0.867354134 1.436002968 1.547086844 1.366839994 1.623197462 1.404062201 0 1.492030203 0.926446063 1.301974578 1.548782635 1.757395317 0.486762163 1.263598036 1.803669265 0.581235953 1.144791011 2.367891993 1.436296749 1.601621823 1.6517214 1.755012097 2.091818128 2.248876835 1.237903416 1.120940289 1.839010526 0.833179779 0.879400594 0.61589888 0.938040397 0.964762522 0.635567872 1.449042795 1.036123858 0.721712487 1.23145641 1.888529778 0.524639835 2.223803798 1.638789779 1.430147593 1.421440192 1.062872072 0.656650256 1.678378145 1.171284379 1.113527823 1.662794615 0.869437161 1.293864031 1.7374543 1.311880479 1.858216322 0.632882976 0.922053346 1.258261732
ENSG00000268903.1 0.256999894 0.873815818 1.203636401 1.469569044 1.232019651 0.943462425 1.657991777 0.253618805 0.538756152 0.904608303 0.332825512 0.39698201 2.217441614 0.58469317 1.357702849 5.079007264 1.063491828 0.971443503 0.729958141 2.630820702 0.967803046 1.887492997 3.36772622 1.011235035 1.088563284 3.673088231 3.624902743 0.311819877 1.542204856 4.626247018 1.459637288 1.252791268 0.813189573 0.444707407 0.521099416 1.151306951 3.659363028 0.109522964 1.025338077 3.184301048 0.810328318 0.706773298 0.174773176 0.512082551 0.317967333 1.462428639 1.700994121 0.618624638 1.799135443 0.239272777 0 0.236429165 0.216775681 0 0.358512121 1.047039432 0.283445237 0.80312143 0.638166148 0.842008732 0.701361487 1.025920185 0.307887968 1.299805601 0.301820767 0.524815045 0.965839938 0.675221015 0.58169192 0 2.024241875 0.28308609 0.783449743 1.091647885 0.720250582 0.339215988 1.211435481 1.939135614 2.014369933 1.191152213 0.37302653 1.376509703 0.189175888 0.910717331 0.540654569 0.895203594 0.322959679 0.471162491 0.118099152 0.331304931 0.473919233 1.163203221 2.281473946
ENSG00000269981.1 1.024832325 2.613370812 1.199928014 3.472690541 1.501162442 1.504889008 2.833514619 0.809079709 0.358064168 1.7177547 0.294933406 1.206122404 3.46762307 0.989149617 1.804693047 11.34192397 2.8272406 3.730327851 0.554445067 7.653709709 1.715237793 3.953423766 6.931303852 0.537663698 3.307304948 7.811779196 4.688087959 0.414478886 3.416562987 10.82281169 3.16178604 2.081552394 0.926496168 0.29555818 1.154430924 1.596883186 5.404575677 0.5823228 3.115212266 6.953645335 1.077108943 1.708110882 2.787755242 1.361346219 0.563533653 3.167832512 4.145174933 0.986749862 3.006402385 0.636094883 3.510804119 1.099936739 0.864431192 3.050107768 0 2.226802173 0.75352519 4.270117462 1.696533247 1.492292471 1.434257646 1.818238825 0.163700997 1.79684394 2.40712689 0.465064975 6.847034303 2.485442469 1.082479506 0.153289738 5.672230872 0.451542249 1.973143442 3.192301299 1.472885128 0.601192654 2.45374591 3.737444917 3.346939479 2.533295552 2.148624057 1.591036169 0.670553029 0.518806528 1.437303518 3.966424374 1.717144774 0.782851409 0.470941162 1.409212525 0.41996364 1.637109752 3.292529553
ENSG00000237683.5 1.057311666 1.874939968 2.945482821 3.042247438 1.835181471 2.382411034 3.057720649 0.590061639 0.840730899 1.906636709 0.535114049 0.836716257 4.330033047 0.874712647 1.873561283 13.66121255 1.695504501 3.399382972 1.124308749 4.675795858 1.922149229 2.921097085 5.779342511 1.147662459 1.853134791 8.024614217 6.977027477 0.575068037 2.537886157 13.17845834 2.960333034 2.93247787 0.955859006 0.835915393 0.911744468 2.215592906 5.207797708 0.54380765 3.781921543 7.808606385 1.695606675 1.604250551 0.694232421 1.017044827 0.872090035 3.257983326 4.745758681 0.877605414 3.179467467 0.509162759 0.936742174 0.637274778 0.538171492 0.868075266 0.712039292 2.361740861 1.286741249 1.367207846 1.629589996 1.990844897 1.362356117 0.970274007 0.628966176 2.094733686 1.284524684 0.943062987 3.471119607 1.517895593 0.775698526 0.34356257 4.408401056 0.417661026 1.450712336 2.292009296 1.068934896 0.433102713 2.913419843 3.342385526 3.625662436 3.328936948 1.852165738 1.952771187 0.518853321 1.458091351 1.039702958 2.4214119 1.172898287 1.002614657 0.552882447 0.808403953 1.47910531 2.038440554 4.401761458
ENSG00000228463.4 0.61341338 0.281561954 0.316015437 0.374144201 0.411685879 0.414345599 0.271360024 0.232451834 0.128591583 0.271434784 0.762619914 0.086630947 0.074719647 0.243588546 0.28281574 0.36852989 0.37712885 0.741972529 0.497794635 0.616082715 0.205331113 0.283958611 0.477104164 0.724091854 0.049489684 0.24547637 0.93535167 0.317550507 0.706746383 0.159005303 0.113549221 0.478430656 0.188548453 0.997751792 0.464341665 0.353651335 0.321642353 0.470541564 0.363599004 0.434306542 0.502868768 0.012268677 0 0.611125326 0.384525492 0.289587117 0.378930784 0.992240125 0.431875709 0.205596677 0.37825052 0.203153285 1.138291621 0.730256792 0.136912823 0.629772769 0.270613498 0.408940603 1.03576916 0.535926987 0.422369652 0.45708887 0.329223654 0.307758726 0.922102899 0.167018782 0.245897539 0.178519388 0.266572018 0.352326035 0.188037069 0 0.747982494 0.218867947 0.48664065 0.010795316 2.269125422 0.027770246 0.084139045 1.205461705 0.724150095 0.811372112 0.686324762 0.95643746 0.401472404 0.569784786 0.641345322 0.32612869 0.135303278 0.341611079 0.050273847 0.261304541 0.136914814
ENSG00000225972.1 3.129595488 5.652936505 6.107160501 6.407051814 3.229773739 3.446681277 3.365010193 8.647583128 2.460247348 2.098246601 2.25164213 3.568112113 3.176790168 3.452147356 6.513124858 3.298624073 5.139121419 3.286020811 4.867789215 3.828273785 0.872988411 6.965089017 5.181398063 8.619963158 5.365479936 3.913764375 4.573266211 5.484788695 8.451033866 5.821360832 2.084677111 10.6472524 4.715500211 8.461544666 21.32842166 4.876503494 3.300859123 4.445690192 4.161990581 8.07845192 8.428667026 1.695254134 9.222573792 18.44770508 11.18584004 2.858171465 6.041501296 8.788793577 4.17310986 7.28431237 20.7722577 10.79661408 6.269449879 5.433346096 7.27625406 2.868803606 1.725815757 8.693285729 3.885608404 5.696385237 3.613403941 86.06330438 5.124017231 5.487136333 9.80106146 3.432146181 5.227305758 4.216640748 4.60427919 0.702165899 3.886267912 9.192688085 5.858137937 3.655699874 3.373382067 3.212825261 5.502789046 2.459757037 3.449506979 4.593300671 4.542500489 1.821993033 8.446805089 4.620911188 4.511106742 2.059128696 4.981566236 2.988303766 2.037369115 2.151700844 5.023005968 5.693699509 2.116759237
ENSG00000225630.1 4.46057288 5.845317261 2.611337594 291.4332462 3.823755116 3.889071402 1.455960896 8.14349577 4.18839044 2.803691579 681.5617205 7.177237009 3.395879145 4.151504795 6.292853394 2.718047278 5.017436475 4.293230255 5.505150922 5.923055175 2.566284897 7.362712872 4.438845051 8.154051082 4.948285756 1.726597748 3.684210461 6.501972098 8.773629028 3.345609673 2.189352368 7.700946326 3.90654802 8.763696376 15.38798922 4.633612515 4.620660759 211.6352931 3.442697463 295.7482779 7.618172832 3.066746204 2.275064622 8.424959695 7.205026054 2.898605367 5.023010656 6.889605999 3.828948213 4.239413981 10.50550964 1046.915815 5.800410576 10.50982217 1198.340499 3.483111062 5.124548704 10.84162646 3.230563309 6.089239391 13.34354183 19.29005098 4.408637197 4.549568609 8.949101377 3.542333989 128.0539701 3.906451084 7.403756929 1.793078818 2.967347421 11.50538878 6.172688201 3.039413305 6.41071841 3.107313758 7.384153459 2.734571271 3.778451025 5.685355821 6.24956405 3.375922723 8.527713184 9.596926881 276.9951271 450.2836919 5.558680534 3.961048165 4.398458136 2.348012631 3.046479531 5.294645717 3.299833006
ENSG00000237973.1 875.6721758 24.7452549 30.18354244 30.46725173 16.12584374 19.20432134 12.51667897 50.13532594 21.81429945 917.4471077 885.0012997 25.58495944 17.10484298 28.2713082 1273.193986 779.6542774 313.3887533 733.5454748 24.13470989 28.004364 10.04983353 901.7050284 27.96030175 29.0449902 820.3180839 11.68222974 14.86063455 1216.916813 1686.806967 1081.075375 689.8475801 1627.81876 22.08339344 1323.432527 59.74969356 28.9018953 30.49619767 23.47255273 15.76785988 28.82483791 24.68205963 10.78357079 18.12974374 2773.946285 1273.295341 898.0477619 569.783882 1251.955142 804.3941061 702.9347275 21.9703983 59.86767987 1266.685068 25.63698273 26.13792677 16.47119242 13.73046937 25.67420808 620.6145114 930.1595335 19.4293111 33.80062376 36.12625322 18.08793638 352.8143928 1047.468587 23.62959019 20.17920843 20.17995958 14.84059254 740.4200669 3236.672791 28.00451356 940.852613 925.4365397 21.82644932 23.06131545 637.0693569 855.01571 325.9816148 1015.717436 16.95551676 40.26577504 1467.426499 22.6921525 20.17853493 1081.089421 1141.994209 20.74542111 13.325415 22.44197142 26.71717847 39.99687229
ENSG00000229344.1 2.133815106 1.874235633 1.998707073 1.205088115 1.64803704 1.775563082 0.917730053 3.425341369 2.385694398 3.147369902 2.210703182 2.762409378 2.887991062 1.882989467 1.229750847 1.461890214 2.074336282 1.553391656 3.463249244 1.923295442 1.547570364 2.216164687 1.683703819 2.686741763 2.467546922 1.21987461 2.169138124 1.956113451 3.642196414 2.151001363 1.256790985 4.854106931 1.993370544 2.58461728 9.422323016 2.105762872 2.250585766 0.969968769 2.513409896 3.1474488 5.158119954 1.707109058 384.0589296 6.944462605 3.168017633 1.738887534 1.726143227 4.382982771 1.877899437 2.383956776 7.675379679 3.664305384 2.459784163 4.657153797 5.953298776 1.159112568 2.824062148 4.741792216 2.119422766 4.039254986 2.508478769 6.435818949 2.317737284 1.554049101 4.009525143 1.872079735 4.276886529 2.069987277 2.575820526 1.021332216 1.877521641 7.08254832 2.556278373 1.329345409 1.778692362 2.691262718 2.937659143 0.912346246 1.114992155 2.439504184 2.408901774 0.795051505 3.490415326 3.816752617 1.463061646 1.387434309 2.717217947 1.629983872 1.503513036 236.1980699 1.748822194 2.120934629 1.587569428
ENSG00000240409.1 0.937366765 1.593553002 1.097518699 1.985193466 1.685099342 0.688226213 0.431947478 2.035076499 0.982514239 0.471345251 1.213928801 1.034235395 0.475751185 1.163223566 2.025821444 3.334478682 1.477683608 1.57475007 2.282063753 0.905236364 1.568848738 0.834464771 1.188701868 0.922080255 1.323454557 1.004775947 1.429325798 2.464180428 2.062481695 2.362291352 185.938569 3.998189525 0.63556742 2.027500558 8.236055985 0.730297625 2.118563826 0.998669536 1.602754137 2.903559531 7.019420118 1.171747562 1.912373161 4.669351766 3.479207771 0.79021909 0.517009083 0.902534496 4.312213522 1.745419776 2.408377705 6.036367806 2.767293412 8.369377837 2.615233343 1.527564776 1.033821999 1.952839548 2.327610831 1.023698217 2.951660663 4.989177066 2.470540652 0.758533897 3.302531579 0.850746879 1.174249844 3.03109248 2.54595594 1.261863354 1.197260177 5.162560337 3.158300453 1.990807134 2.42492392 3.093092642 1.683245986 0.70726927 1.607177702 1.955043306 1.587314986 1.746296704 3.449946743 3.321698477 1.314635102 1.306045823 2.827067338 1.503679808 0.861496233 2.416765441 1.344424662 3.244342032 1.188759717
