ID	Percent_het	ID2	F_MISS
BadSample_6	35.24	BadSample_6	0.01357
BadSample_7	34.56	BadSample_7	0.03352
BadSample_8	35.02	BadSample_8	0.02554
BadSample_9	35.72	BadSample_9	0.06068
BadSample_10	34.66	BadSample_10	0.01741
BadSample_1	56.56	BadSample_1	0.5309
BadSample_2	44.11	BadSample_2	0.2257
BadSample_3	63.99	BadSample_3	0.4581
BadSample_4	37.48	BadSample_4	0.1586
BadSample_5	44.23	BadSample_5	0.5349
BadSample_11	39.06	BadSample_11	0.119
BadSample_12	44.67	BadSample_12	0.2138
BadSample_13	45.76	BadSample_13	0.2931
BadSample_14	40.24	BadSample_14	0.1543
BadSample_15	48.17	BadSample_15	0.248
HG00096	35.04	HG00096	5.424e-05
HG00097	34.68	HG00097	6.87e-05
HG00099	34.6	HG00099	5.786e-05
HG00100	34.67	HG00100	8.317e-05
HG00101	34.87	HG00101	0.0001049
HG00102	34.49	HG00102	7.232e-05
HG00103	34.69	HG00103	7.232e-05
HG00105	34.75	HG00105	7.232e-05
HG00106	34.73	HG00106	6.87e-05
HG00107	34.55	HG00107	7.955e-05
HG00108	34.72	HG00108	3.978e-05
HG00109	35.18	HG00109	5.424e-05
HG00110	33.6	HG00110	6.509e-05
HG00111	34.51	HG00111	6.87e-05
HG00112	34.61	HG00112	5.786e-05
HG00113	34.59	HG00113	8.317e-05
HG00114	34.57	HG00114	7.594e-05
HG00115	34.75	HG00115	6.509e-05
HG00116	34.68	HG00116	6.147e-05
HG00117	33.64	HG00117	6.87e-05
HG00118	34.92	HG00118	6.509e-05
HG00119	34.52	HG00119	5.786e-05
HG00120	34.85	HG00120	5.062e-05
HG00121	34.32	HG00121	6.87e-05
HG00122	35.17	HG00122	7.955e-05
HG00123	34.95	HG00123	6.147e-05
HG00125	34.79	HG00125	7.955e-05
HG00126	34.55	HG00126	6.147e-05
HG00127	34.43	HG00127	8.317e-05
HG00128	34.6	HG00128	8.678e-05
HG00129	34.74	HG00129	6.147e-05
HG00130	35.19	HG00130	7.232e-05
HG00131	34.61	HG00131	6.509e-05
HG00132	34.18	HG00132	5.786e-05
HG00133	34.85	HG00133	9.04e-05
HG00136	34.73	HG00136	7.594e-05
HG00137	34.9	HG00137	5.062e-05
HG00138	34.77	HG00138	6.87e-05
HG00139	34.56	HG00139	5.786e-05
HG00140	34.76	HG00140	5.786e-05
HG00141	34.69	HG00141	0.0001049
HG00142	34.9	HG00142	7.232e-05
HG00143	35	HG00143	6.87e-05
HG00145	34.65	HG00145	8.317e-05
HG00146	34.99	HG00146	7.594e-05
HG00148	34.98	HG00148	8.317e-05
HG00149	34.75	HG00149	3.616e-05
HG00150	34.81	HG00150	5.786e-05
HG00151	34.51	HG00151	7.955e-05
HG00154	34.57	HG00154	5.424e-05
HG00155	34.81	HG00155	6.87e-05
HG00157	34.96	HG00157	6.87e-05
HG00158	35.29	HG00158	4.339e-05
