ID	Percent_het	ID2	F_MISS
BadSample_6	0.14	BadSample_6	0.0311
BadSample_7	0.37	BadSample_7	0.03765
BadSample_8	0.29	BadSample_8	0.04911
BadSample_9	0.55	BadSample_9	0.09268
BadSample_10	0.19	BadSample_10	0.03196
BadSample_1	38.34	BadSample_1	0.5853
BadSample_2	6.11	BadSample_2	0.2955
BadSample_3	47.16	BadSample_3	0.5782
BadSample_4	6.41	BadSample_4	0.34
BadSample_5	32.92	BadSample_5	0.5764
BadSample_11	0.13	BadSample_11	0.003095
BadSample_12	0.09	BadSample_12	0.003267
BadSample_13	0.04	BadSample_13	0.002924
BadSample_14	0.09	BadSample_14	0.001787
BadSample_15	0.07	BadSample_15	0.003224
HG00096	0.13	HG00096	0
HG00097	0.14	HG00097	7.149e-06
HG00099	0.15	HG00099	7.149e-06
HG00100	0.13	HG00100	7.149e-06
HG00101	0.13	HG00101	0
HG00102	0.12	HG00102	0
HG00103	0.13	HG00103	7.149e-06
HG00105	0.15	HG00105	1.43e-05
HG00106	0.15	HG00106	0
HG00107	0.13	HG00107	0
HG00108	0.11	HG00108	7.149e-06
HG00109	0.14	HG00109	0
HG00110	0.13	HG00110	7.149e-06
HG00111	0.14	HG00111	1.43e-05
HG00112	0.12	HG00112	0
HG00113	0.14	HG00113	0
HG00114	0.13	HG00114	0
HG00115	0.13	HG00115	0
HG00116	0.13	HG00116	0
HG00117	0.14	HG00117	0
HG00118	0.14	HG00118	0
HG00119	0.16	HG00119	0
HG00120	0.14	HG00120	7.149e-06
HG00121	0.13	HG00121	7.149e-06
HG00122	0.14	HG00122	0
HG00123	0.13	HG00123	7.149e-06
HG00125	0.14	HG00125	7.149e-06
HG00126	0.13	HG00126	7.149e-06
HG00127	0.14	HG00127	7.149e-06
HG00128	0.14	HG00128	7.149e-06
HG00129	0.14	HG00129	7.149e-06
HG00130	0.16	HG00130	7.149e-06
HG00131	0.18	HG00131	7.149e-06
HG00132	0.14	HG00132	1.43e-05
HG00133	0.14	HG00133	0
HG00136	0.13	HG00136	0
HG00137	0.12	HG00137	7.149e-06
HG00138	0.14	HG00138	7.149e-06
HG00139	0.14	HG00139	0
HG00140	0.14	HG00140	2.145e-05
HG00141	0.16	HG00141	1.43e-05
HG00142	0.16	HG00142	7.149e-06
HG00143	0.13	HG00143	7.149e-06
HG00145	0.17	HG00145	1.43e-05
HG00146	0.12	HG00146	0
HG00148	0.15	HG00148	7.149e-06
HG00149	0.15	HG00149	0
HG00150	0.15	HG00150	0
HG00151	0.17	HG00151	7.149e-06
HG00154	0.13	HG00154	0
HG00155	0.12	HG00155	0
HG00157	0.15	HG00157	0
HG00158	0.13	HG00158	1.43e-05
HG00159	0.16	HG00159	0
HG00160	0.14	HG00160	7.149e-06
HG00171	0.17	HG00171	0
HG00173	0.16	HG00173	7.149e-06
HG00174	0.16	HG00174	0
HG00176	0.16	HG00176	7.149e-06
HG00177	0.16	HG00177	7.149e-06
HG00178	0.16	HG00178	1.43e-05
HG00179	0.17	HG00179	1.43e-05
HG00180	0.19	HG00180	0
HG00181	0.21	HG00181	1.43e-05
HG00182	0.18	HG00182	0
HG00183	0.15	HG00183	7.149e-06
HG00185	0.17	HG00185	0
HG00186	0.18	HG00186	0
HG00187	0.17	HG00187	7.149e-06
HG00188	0.16	HG00188	1.43e-05
HG00189	0.17	HG00189	0
HG00190	0.16	HG00190	0
HG00231	0.13	HG00231	0
HG00232	0.13	HG00232	7.149e-06
HG00233	0.15	HG00233	7.149e-06
HG00234	0.15	HG00234	1.43e-05
HG00235	0.14	HG00235	7.149e-06
HG00236	0.16	HG00236	0
HG00237	0.13	HG00237	7.149e-06
HG00238	0.12	HG00238	2.145e-05
HG00239	0.14	HG00239	7.149e-06
HG00240	0.13	HG00240	7.149e-06
HG00242	0.15	HG00242	1.43e-05
HG00243	0.15	HG00243	0
HG00244	0.15	HG00244	0
HG00245	0.15	HG00245	0
HG00246	0.14	HG00246	7.149e-06
HG00250	0.15	HG00250	0
HG00251	0.12	HG00251	7.149e-06
HG00252	0.14	HG00252	7.149e-06
HG00253	0.12	HG00253	0
HG00254	0.13	HG00254	0
HG00255	0.15	HG00255	0
HG00256	0.13	HG00256	0
HG00257	0.14	HG00257	1.43e-05
HG00258	0.12	HG00258	7.149e-06
HG00259	0.15	HG00259	7.149e-06
HG00260	0.14	HG00260	7.149e-06
HG00261	0.14	HG00261	2.145e-05
HG00262	0.14	HG00262	7.149e-06
HG00263	0.13	HG00263	0
HG00264	0.14	HG00264	7.149e-06
HG00265	0.13	HG00265	7.149e-06
HG00266	0.18	HG00266	7.149e-06
HG00267	0.19	HG00267	7.149e-06
HG00268	0.14	HG00268	0
HG00269	0.16	HG00269	2.145e-05
HG00271	0.19	HG00271	1.43e-05
HG00272	0.16	HG00272	7.149e-06
HG00273	0.16	HG00273	0
HG00274	0.17	HG00274	0
HG00275	0.17	HG00275	0
HG00276	0.16	HG00276	7.149e-06
HG00277	0.16	HG00277	7.149e-06
HG00278	0.17	HG00278	0
HG00280	0.18	HG00280	0
HG00281	0.16	HG00281	0
HG00282	0.15	HG00282	0
HG00284	0.15	HG00284	0
HG00285	0.17	HG00285	0
HG00288	0.18	HG00288	0
HG00290	0.16	HG00290	0
HG00304	0.2	HG00304	7.149e-06
HG00306	0.15	HG00306	1.43e-05
HG00308	0.18	HG00308	0
HG00309	0.16	HG00309	7.149e-06
HG00310	0.17	HG00310	0
