Population	ID	Sex
GBR	HG00096	male
GBR	HG00097	female
GBR	HG00098	male
GBR	HG00099	female
GBR	HG00100	female
GBR	HG00101	male
GBR	HG00102	female
GBR	HG00103	male
GBR	HG00104	female
GBR	HG00105	male
GBR	HG00106	female
GBR	HG00107	male
GBR	HG00108	male
GBR	HG00109	male
GBR	HG00110	female
GBR	HG00111	female
GBR	HG00112	male
GBR	HG00113	male
GBR	HG00114	male
GBR	HG00115	male
GBR	HG00116	male
GBR	HG00117	male
GBR	HG00118	female
GBR	HG00119	male
GBR	HG00120	female
GBR	HG00121	female
GBR	HG00122	female
GBR	HG00123	female
GBR	HG00124	female
GBR	HG00125	female
GBR	HG00126	male
GBR	HG00127	female
GBR	HG00128	female
GBR	HG00129	male
GBR	HG00130	female
GBR	HG00131	male
GBR	HG00132	female
GBR	HG00133	female
GBR	HG00134	female
GBR	HG00135	female
GBR	HG00136	male
GBR	HG00137	female
GBR	HG00138	male
GBR	HG00139	male
GBR	HG00140	male
GBR	HG00141	male
GBR	HG00142	male
GBR	HG00143	male
GBR	HG00144	female
GBR	HG00145	male
GBR	HG00146	female
GBR	HG00147	female
GBR	HG00148	male
GBR	HG00149	male
GBR	HG00150	female
GBR	HG00151	male
GBR	HG00152	male
GBR	HG00153	female
GBR	HG00154	female
GBR	HG00155	male
GBR	HG00156	male
GBR	HG00157	male
GBR	HG00158	female
GBR	HG00159	male
GBR	HG00160	male
FIN	HG00171	female
FIN	HG00173	female
FIN	HG00174	female
FIN	HG00176	female
FIN	HG00177	female
FIN	HG00178	female
FIN	HG00179	female
FIN	HG00180	female
FIN	HG00181	male
FIN	HG00182	male
FIN	HG00183	male
FIN	HG00185	male
FIN	HG00186	male
FIN	HG00187	male
FIN	HG00188	male
FIN	HG00189	male
FIN	HG00190	male
GBR	HG00231	female
GBR	HG00232	female
GBR	HG00233	female
GBR	HG00234	male
GBR	HG00235	female
GBR	HG00236	female
GBR	HG00237	female
GBR	HG00238	female
GBR	HG00239	female
GBR	HG00240	female
GBR	HG00242	male
GBR	HG00243	male
GBR	HG00244	male
GBR	HG00245	female
GBR	HG00246	male
GBR	HG00247	female
GBR	HG00248	female
GBR	HG00249	female
GBR	HG00250	female
GBR	HG00251	male
GBR	HG00252	male
GBR	HG00253	female
GBR	HG00254	female
GBR	HG00255	female
GBR	HG00256	male
GBR	HG00257	female
GBR	HG00258	female
GBR	HG00259	female
GBR	HG00260	male
GBR	HG00261	female
GBR	HG00262	female
GBR	HG00263	female
GBR	HG00264	male
GBR	HG00265	male
FIN	HG00266	female
FIN	HG00267	male
FIN	HG00268	female
FIN	HG00269	female
FIN	HG00270	female
FIN	HG00271	male
FIN	HG00272	female
FIN	HG00273	male
FIN	HG00274	female
FIN	HG00275	female
FIN	HG00276	female
FIN	HG00277	male
FIN	HG00278	male
FIN	HG00280	male
FIN	HG00281	female
FIN	HG00282	female
FIN	HG00284	male
FIN	HG00285	female
FIN	HG00306	female
FIN	HG00308	male
FIN	HG00309	female
FIN	HG00310	male
FIN	HG00311	male
FIN	HG00312	male
FIN	HG00313	female
FIN	HG00315	female
FIN	HG00318	female
FIN	HG00319	female
FIN	HG00320	female
FIN	HG00321	male
FIN	HG00323	female
FIN	HG00324	female
FIN	HG00325	male
FIN	HG00326	female
FIN	HG00327	female
FIN	HG00328	female
FIN	HG00329	male
FIN	HG00330	female
FIN	HG00331	female
FIN	HG00332	female
FIN	HG00334	female
FIN	HG00335	male
FIN	HG00336	male
FIN	HG00337	female
FIN	HG00338	male
FIN	HG00339	female
FIN	HG00341	male
FIN	HG00342	male
FIN	HG00343	female
FIN	HG00344	female
FIN	HG00345	male
FIN	HG00346	female
FIN	HG00349	female
FIN	HG00350	female
FIN	HG00351	male
FIN	HG00353	female
FIN	HG00355	female
FIN	HG00356	female
FIN	HG00357	female
FIN	HG00358	male
FIN	HG00359	female
FIN	HG00360	male
FIN	HG00361	female
FIN	HG00362	female
FIN	HG00364	female
FIN	HG00365	female
FIN	HG00366	male
FIN	HG00367	female
FIN	HG00368	female
FIN	HG00369	male
FIN	HG00371	male
FIN	HG00372	male
FIN	HG00373	female
FIN	HG00375	male
FIN	HG00376	female
FIN	HG00377	female
FIN	HG00378	female
FIN	HG00379	female
FIN	HG00380	female
FIN	HG00381	female
FIN	HG00382	male
FIN	HG00383	female
FIN	HG00384	female
CHS	HG00403	SH001
CHS	HG00404	SH001
CHS	HG00405	SH001
CHS	HG00406	SH002
CHS	HG00407	SH002
CHS	HG00408	SH002
CHS	HG00418	SH006
CHS	HG00419	SH006
CHS	HG00420	SH006
CHS	HG00421	SH007
CHS	HG00422	SH007
CHS	HG00423	SH007
CHS	HG00427	SH009
CHS	HG00428	SH009
CHS	HG00429	SH009
CHS	HG00436	SH012
CHS	HG00437	SH012
CHS	HG00438	SH012
CHS	HG00442	SH014
CHS	HG00443	SH014
CHS	HG00444	SH014
CHS	HG00445	SH015
CHS	HG00446	SH015
CHS	HG00447	SH015
CHS	HG00448	SH016
CHS	HG00449	SH016
CHS	HG00450	SH016
CHS	HG00451	SH017
CHS	HG00452	SH017
CHS	HG00453	SH017
CHS	HG00457	SH019
CHS	HG00458	SH019
CHS	HG00459	SH019
CHS	HG00463	SH021
CHS	HG00464	SH021
CHS	HG00465	SH021
CHS	HG00472	SH024
CHS	HG00473	SH024
CHS	HG00474	SH024
CHS	HG00475	SH025
CHS	HG00476	SH025
CHS	HG00477	SH025
CHS	HG00478	SH026
CHS	HG00479	SH026
CHS	HG00480	SH026
CHS	HG00500	SH028
CHS	HG00501	SH028
CHS	HG00502	SH028
CHS	HG00512	SH032
CHS	HG00513	SH032
CHS	HG00514	SH032
CHS	HG00524	SH036
CHS	HG00525	SH036
CHS	HG00526	SH036
CHS	HG00530	SH038
CHS	HG00531	SH038
CHS	HG00532	SH038
CHS	HG00533	SH039
