gene chr start end
ENSG00000227232.4 1 29805 29806
ENSG00000268903.1 1 135894 135895
ENSG00000269981.1 1 137964 137965
ENSG00000237683.5 1 139378 139379
ENSG00000228463.4 1 267252 267253
ENSG00000225972.1 1 564441 564442
ENSG00000225630.1 1 565019 565020
ENSG00000237973.1 1 566453 566454
ENSG00000229344.1 1 568136 568137
ENSG00000240409.1 1 568914 568915
ENSG00000248527.1 1 569075 569076
ENSG00000198744.5 1 569755 569756
ENSG00000224956.5 1 663526 663527
ENSG00000228327.2 1 714005 714006
ENSG00000177757.1 1 752750 752751
ENSG00000225880.4 1 762901 762902
ENSG00000228794.4 1 762987 762988
ENSG00000223764.2 1 856395 856396
ENSG00000187634.6 1 860259 860260
ENSG00000268179.1 1 866444 866445
ENSG00000188976.6 1 894688 894689
ENSG00000187961.9 1 895966 895967
ENSG00000272512.1 1 933430 933431
ENSG00000188290.6 1 935551 935552
ENSG00000187608.5 1 948802 948803
ENSG00000188157.9 1 955502 955503
ENSG00000242590.1 1 990412 990413
ENSG00000131591.13 1 1051740 1051741
ENSG00000162571.9 1 1109263 1109264
ENSG00000205231.1 1 1114934 1114935
ENSG00000186891.9 1 1142070 1142071
ENSG00000186827.6 1 1149517 1149518
ENSG00000078808.12 1 1167410 1167411
ENSG00000176022.3 1 1167628 1167629
ENSG00000184163.3 1 1182101 1182102
ENSG00000160087.16 1 1209264 1209265
ENSG00000230415.1 1 1210602 1210603
ENSG00000162572.15 1 1215815 1215816
ENSG00000169972.7 1 1243946 1243947
ENSG00000131584.14 1 1244988 1244989
ENSG00000240731.1 1 1254068 1254069
ENSG00000127054.14 1 1260070 1260071
ENSG00000224051.2 1 1260135 1260136
ENSG00000107404.13 1 1284729 1284730
ENSG00000162576.12 1 1297156 1297157
ENSG00000175756.9 1 1310874 1310875
ENSG00000221978.7 1 1334707 1334708
ENSG00000224870.3 1 1334901 1334902
ENSG00000264293.1 1 1341131 1341132
ENSG00000242485.1 1 1342692 1342693
ENSG00000272455.1 1 1344475 1344476
ENSG00000225905.1 1 1355624 1355625
ENSG00000235098.4 1 1357148 1357149
ENSG00000225285.1 1 1369952 1369953
ENSG00000179403.10 1 1370240 1370241
ENSG00000160072.15 1 1407142 1407143
ENSG00000197785.9 1 1447530 1447531
ENSG00000205090.4 1 1475832 1475833
ENSG00000215791.2 1 1499903 1499904
ENSG00000160075.10 1 1510248 1510249
ENSG00000215014.3 1 1510354 1510355
ENSG00000228594.1 1 1535475 1535476
ENSG00000197530.8 1 1550794 1550795
ENSG00000272106.1 1 1551174 1551175
ENSG00000248333.3 1 1590472 1590473
ENSG00000272004.1 1 1590785 1590786
ENSG00000269737.1 1 1603428 1603429
